ParName   Value   Gradient
log_n_at_l_init(1)      19.8531     0.028262
log_n_at_l_init(2)      12.7001 -0.000336945
log_n_at_l_init(3)      8.77102  0.000208649
log_n_at_l_init(4)      7.53236  6.83445e-05
log_n_at_l_init(5)       8.1723 -0.000598929
log_n_at_l_init(6)      9.69016  0.000980947
log_n_at_l_init(7)      10.8095 -0.000221488
log_n_at_l_init(8)      11.3079   0.00308505
log_n_at_l_init(9)      11.5989   0.00411303
log_n_at_l_init(10)      11.5676   0.00296604
log_n_at_l_init(11)      11.1116   0.00267185
log_n_at_l_init(12)      10.2707  -0.00163746
log_n_at_l_init(13)      9.07754 -1.40771e-05
log_n_at_l_init(14)      8.20424 -0.000111205
log_n_at_l_init(15)      8.12054  0.000398909
log_n_at_l_init(16)      8.72984 -0.000293033
log_n_at_l_init(17)      9.32645  0.000249797
log_n_at_l_init(18)      9.90514  9.53415e-05
log_n_at_l_init(19)      10.1796  0.000618359
log_n_at_l_init(20)      10.5233   0.00201382
log_n_at_l_init(21)      10.7361   0.00180862
log_n_at_l_init(22)      10.7179   0.00157531
log_n_at_l_init(23)       10.644    0.0021178
log_n_at_l_init(24)      10.4964   0.00108009
log_n_at_l_init(25)      10.1058  0.000134541
log_n_at_l_init(26)      9.86244   0.00139422
log_n_at_l_init(27)      9.25636  0.000412394
log_n_at_l_init(28)      8.63188 -8.60127e-05
log_n_at_l_init(29)      7.85463  2.38368e-05
log_n_at_l_init(30)      7.02006  5.52802e-05
log_n_at_l_init(31)      6.07453  0.000586784
log_n_at_l_init(32)       5.3204 -0.000201509
log_n_at_l_init(33)      4.92263  0.000823939
log_n_at_l_init(34)      4.96239 -0.000291901
log_n_at_l_init(35)      5.49365  0.000134879
log_n_at_l_init(36)      6.44939  0.000150107
log_n_at_l_init(37)      7.12683 -0.000357374
log_n_at_l_init(38)      7.56396  0.000200406
log_n_at_l_init(39)      8.58659 -4.68185e-06
log_n_at_l_init(40)      12.3894    0.0077023
log_recruits(1)      2.17671  2.31079e-07
log_recruits(2)      19.8325  -0.00178529
log_recruits(3)      19.5954  -0.00520155
log_recruits(4)      20.0132  -0.00721926
log_recruits(5)      19.7488  -0.00654185
log_recruits(6)      20.0319   -0.0113502
log_recruits(7)      19.7762   -0.0104373
log_recruits(8)      19.6972  -0.00488162
log_recruits(9)       19.521  -0.00180912
log_recruits(10)      20.0724  -0.00453805
log_recruits(11)      19.7645   0.00158618
log_recruits(12)      19.5338  -0.00135623
log_recruits(13)      20.0183  0.000797089
log_recruits(14)      19.7437   0.00238674
log_recruits(15)      19.5134 -0.000206257
log_recruits(16)      20.1352 -0.000919033
log_recruits(17)      19.7652  -0.00117818
log_recruits(18)      19.5666  -0.00419257
log_recruits(19)      20.0183  -0.00640876
log_recruits(20)      19.7419   -0.0109504
log_recruits(21)      20.3631   -0.0360036
log_recruits(22)      19.3202   -0.0130747
log_recruits(23)      19.7383   -0.0123164
log_recruits(24)      19.5354  -0.00368913
log_recruits(25)      20.0434  -0.00770298
log_recruits(26)      19.7643   0.00360034
log_recruits(27)      14.1246  1.44724e-05
log_recruits(28)      20.3952    0.0101989
log_recruits(29)      19.7221   0.00209691
log_recruits(30)      19.7002  -0.00086905
log_recruits(31)      20.0121  -0.00174619
log_recruits(32)       19.762  0.000977381
log_recruits(33)      19.5616  -0.00145906
log_recruits(34)      20.0578  -0.00293147
log_recruits(35)      19.7708 -0.000890004
log_recruits(36)      20.1055  -0.00392578
log_recruits(37)      19.7656  -0.00418809
log_recruits(38)      19.7648  -0.00111411
log_recruits(39)      19.6236  -0.00197426
log_recruits(40)      20.0459  -0.00154081
log_recruits(41)      19.7729  0.000185303
log_recruits(42)      19.5909  -0.00171104
log_recruits(43)      20.0022  -0.00271321
log_recruits(44)      19.7268 -0.000248829
log_recruits(45)      19.4713  0.000509187
log_recruits(46)      20.1526  -0.00161566
log_recruits(47)      19.7956  0.000492712
log_recruits(48)      19.5424  -0.00191546
log_recruits(49)       20.052  -0.00416282
log_recruits(50)      19.7311  -0.00530465
log_recruits(51)      20.3655   -0.0266968
log_recruits(52)      19.4297  -0.00908397
log_recruits(53)      19.7919   -0.0114773
log_recruits(54)      19.6139  -0.00462078
log_recruits(55)      20.0328  -0.00889362
log_recruits(56)      19.8162  0.000275944
log_recruits(57)       11.918 -2.01361e-08
log_recruits(58)      20.4321  5.09721e-05
log_recruits(59)      19.7358  -0.00238323
log_recruits(60)      19.6149  -0.00517065
log_recruits(61)      20.1199  -0.00559425
log_recruits(62)      19.8475  -0.00213216
log_recruits(63)      19.6254    0.0003459
log_recruits(64)       20.115  -0.00197458
log_recruits(65)      19.9817  0.000208565
log_recruits(66)      19.6495 -0.000152969
nat_m      1.02737    0.0463886
surv_50      58.8578 -0.000668911
surv_slope     0.293538   0.00188455
fish_50      85.0875    0.0156607
fish_slope     0.860866   0.00142022
f_mort(1)   0.00610061    0.0183417
f_mort(2)   0.00446813     0.015274
f_mort(3)   0.00451865    0.0176601
f_mort(4)   0.00331513    0.0202717
f_mort(5)     0.156781    0.0021484
f_mort(6)     0.159233 -0.000186189
f_mort(7)     0.146273   0.00151273
f_mort(8)     0.155909   0.00301032
f_mort(9)     0.197231   0.00275469
f_mort(10)     0.200027  0.000638593
f_mort(11)     0.197522  -0.00287951
f_mort(12)     0.195742  -0.00783477
f_mort(13)     0.203418   0.00584788
f_mort(14)     0.197871 -0.000934982
f_mort(15)     0.185821   0.00261113
f_mort(16)     0.203161  -0.00202124
f_mort(17)     0.202739    0.0044052
f_mort(18)      0.19095  -0.00197954
f_mort(19)     0.199093   0.00323247
f_mort(20)     0.190258 -0.000946966
f_mort(21)     0.201907  -0.00315048
f_mort(22)     0.207223 -0.000604562
f_mort(23)     0.204332   0.00746131
f_mort(24)      0.19218  -0.00756445
f_mort(25)     0.189194  -0.00145401
f_mort(26)     0.202946   0.00541134
f_mort(27)     0.188069    -0.008691
f_mort(28)       0.1889   0.00361902
f_mort(29)     0.183381  -0.00123485
f_mort(30)     0.199305  -0.00608422
f_mort(31)     0.205276    0.0023707
f_mort(32)     0.210281   0.00177701
f_mort(33)     0.197962   0.00784628
f_mort(34)     0.190871   0.00772187
f_mort(35)     0.182947   -0.0143035
f_mort(36)     0.176885  0.000461185
f_mort(37)     0.197495  -0.00119143
f_mort(38)     0.200091 -0.000319337
f_mort(39)     0.197763   0.00175506
f_mort(40)     0.212507  0.000536858
f_mort(41)     0.198935  0.000262893
f_mort(42)     0.186496  -0.00170623
f_mort(43)     0.194112  -0.00100883
f_mort(44)     0.198723   0.00157557
f_mort(45)     0.196514   0.00404004
f_mort(46)     0.210237  -0.00318766
f_mort(47)      0.18527  -0.00346315
f_mort(48)     0.201654  0.000786032
f_mort(49)     0.191342  0.000996819
f_mort(50)     0.182957   0.00153339
f_mort(51)     0.198724   0.00519498
f_mort(52)     0.208766  -0.00357093
f_mort(53)     0.198167  3.99844e-06
f_mort(54)     0.202123   0.00453304
f_mort(55)     0.191892  -0.00639669
f_mort(56)     0.207666  -0.00631507
f_mort(57)     0.198804   0.00500901
f_mort(58)     0.200234  0.000653832
f_mort(59)     0.179492  0.000203654
f_mort(60)     0.196079  -0.00552977
f_mort(61)     0.214447  -0.00575363
f_mort(62)     0.194844  -0.00410346
f_mort(63)     0.178603  -0.00585069
f_mort(64)       0.2067   0.00513726
f_mort(65)      0.18835  -0.00101998
f_mort(66)     0.208196   0.00978764
f_mort(67)      0.19639   -0.0117346
f_mort(68)     0.197541   0.00218135
f_mort(69)     0.198091   0.00456567
f_mort(70)     0.190031  -0.00731939
f_mort(71)     0.210156    0.0011436
f_mort(72)     0.196929   0.00661057
f_mort(73)     0.202785  -0.00232716
f_mort(74)     0.184689  -0.00255786
f_mort(75)     0.165488   0.00293624
f_mort(76)       0.1999  -0.00916632
f_mort(77)     0.204037    0.0033178
f_mort(78)     0.175246   0.00391412
f_mort(79)     0.215453  -0.00236762
f_mort(80)     0.203781  -0.00174817
f_mort(81)     0.192565   0.00291576
f_mort(82)     0.190705   -0.0132192
f_mort(83)     0.187357   0.00686558
f_mort(84)     0.193563    0.0071601
f_mort(85)      0.17684  -0.00250047
f_mort(86)     0.196905  -0.00320109
f_mort(87)     0.198865   0.00623213
f_mort(88)     0.201548  -0.00255448
f_mort(89)     0.197174   0.00436908
f_mort(90)     0.170479 -0.000493482
f_mort(91)     0.179016  0.000160559
f_mort(92)     0.178916 -0.000738111
f_mort(93)     0.221648  -0.00255788
f_mort(94)     0.201642   0.00436059
f_mort(95)     0.203998  -0.00136174
f_mort(96)     0.201487 -0.000996032
f_mort(97)     0.185461  -0.00213941
f_mort(98)     0.204023  0.000709544
f_mort(99)     0.224291  0.000411417
f_mort(100)     0.201977   0.00682759
f_mort(101)     0.197172  -0.00236093
f_mort(102)     0.210467  -0.00389234
f_mort(103)     0.193973   0.00218436
f_mort(104)     0.186967 -0.000892191
f_mort(105)     0.182761   0.00334787
f_mort(106)     0.193679  -0.00309822
f_mort(107)     0.197907   0.00113703
f_mort(108)     0.201322   0.00244558
f_mort(109)     0.200017  -0.00441404
f_mort(110)     0.201572   0.00200816
f_mort(111)      0.18682   0.00799461
f_mort(112)     0.193256   0.00308219
f_mort(113)     0.194435  -0.00919242
f_mort(114)      0.19809 -5.18919e-05
f_mort(115)     0.210081  -0.00204651
f_mort(116)     0.198651   0.00223251
f_mort(117)     0.172693 -0.000114819
f_mort(118)     0.189595  -0.00100023
f_mort(119)     0.203682   0.00124916
f_mort(120)     0.176473  0.000707282
f_mort(121)     0.194257  -0.00323171
f_mort(122)     0.200836 -0.000962501
f_mort(123)       0.2064   0.00353479
f_mort(124)     0.188864  -0.00336851
f_mort(125)     0.197957   0.00311084
f_mort(126)     0.199335   0.00154643
f_mort(127)     0.191489  -0.00157073
f_mort(128)     0.202508   0.00553209
f_mort(129)     0.208199  -0.00551422
f_mort(130)     0.185542  -0.00308297
f_mort(131)     0.203786   -0.0065201
f_mort(132)      0.19482  -0.00367232
f_mort(133)     0.180668   0.00908074
f_mort(134)     0.200933 -0.000758155
f_mort(135)     0.203134  -0.00295318
f_mort(136)      0.18703  -0.00101466
f_mort(137)     0.180185   0.00117059
f_mort(138)     0.185501  -0.00157732
f_mort(139)        0.199  0.000176086
f_mort(140)     0.203805   0.00038232
f_mort(141)     0.176005 -0.000793643
f_mort(142)     0.190016   -0.0027954
f_mort(143)     0.194828 -0.000268722
f_mort(144)      0.18837   0.00314775
f_mort(145)     0.185088 -0.000165939
f_mort(146)     0.194625  0.000245853
f_mort(147)     0.199965  -0.00446038
f_mort(148)     0.185042   0.00420645
f_mort(149)     0.166603  -0.00082162
f_mort(150)     0.187189   0.00255028
